_id,name,id
ObjectId("5de858562e0ddc657d1b6b7d"),Instituto Nacional de Ecología y Cambio Climático,INECC-203
ObjectId("5de858562e0ddc657d1b6b7e"),Centro de Enseñanza Técnica Industrial,CETI-34
ObjectId("5de858562e0ddc657d1b6b7f"),Agroasemex, S.A.,AGROASEMEX-22
ObjectId("5de858562e0ddc657d1b6b80"),Telecomunicaciones de México,TELECOMM-299
ObjectId("5de858562e0ddc657d1b6b81"),Sistema Nacional para el Desarrollo Integral de la Familia,DIF-296
ObjectId("5de858562e0ddc657d1b6b82"),Instituto Nacional de Pediatría,INPI-216
ObjectId("5de858562e0ddc657d1b6b83"),Administración Portuaria Integral de Salina Cruz, S.A. de C.V.,API-Salina Cruz-14
ObjectId("5de858562e0ddc657d1b6b84"),Educal, S.A. de C.V.,EDUCAL-121
ObjectId("5de858562e0ddc657d1b6b85"),Administración Portuaria Integral de Progreso, S.A. de C.V.,API-Progreso-11
ObjectId("5de858562e0ddc657d1b6b86"),Centro Nacional de Metrología,CENAM-58
ObjectId("5de858562e0ddc657d1b6b87"),Agencia Nacional de Seguridad Industrial y de Protección al Medio Ambiente del Sector Hidrocarburos ,ASEA-326
ObjectId("5de858562e0ddc657d1b6b88"),Financiera Nacional de Desarrollo Agropecuario, Rural, Forestal y Pesquero,FND-142
ObjectId("5de858562e0ddc657d1b6b89"),Servicio de Administración y Enajenación de Bienes,SAE-285
ObjectId("5de858562e0ddc657d1b6b8a"),Centro de Investigación en Matemáticas, A.C.,CIMAT-42
ObjectId("5de858562e0ddc657d1b6b8b"),Hospital Regional de Alta Especialidad de Ciudad Victoria "Bicentenario 2010",HRAEV-165
ObjectId("5de858562e0ddc657d1b6b8c"),El Colegio de Michoacán, A.C.,COLMICH-125
ObjectId("5de858562e0ddc657d1b6b8d"),Instituto Nacional de Pesca y Acuacultura,INAPESCA-209
ObjectId("5de858562e0ddc657d1b6b8e"),Servicio de Protección Federal,SPF-287
ObjectId("5de858562e0ddc657d1b6b8f"),Instituto Nacional de Psiquiatría Ramón de la Fuente Muñiz,INPSIQ-218
ObjectId("5de858562e0ddc657d1b6b90"),Hospital Regional de Alta Especialidad de Oaxaca,HRAEO-167
ObjectId("5de858562e0ddc657d1b6b91"),Fondo Nacional de Fomento al Turismo,FONATUR-157
ObjectId("5de858562e0ddc657d1b6b92"),Hospital Regional de Alta Especialidad del Bajío,HRAEB-168
ObjectId("5de858562e0ddc657d1b6b93"),Procuraduría Agraria,PA-246
ObjectId("5de858562e0ddc657d1b6b94"),Sistema Público de Radiodifusión del Estado Mexicano,SPR-235
ObjectId("5de858562e0ddc657d1b6b95"),Centro Nacional de Control del Gas Natural,CENAGAS-325
ObjectId("5de858562e0ddc657d1b6b96"),Centro de Investigación en Alimentación y Desarrollo, A.C.,CIAD-40
ObjectId("5de858562e0ddc657d1b6b97"),Administración Portuaria Integral de Dos Bocas, S.A. de C.V.,API-Dos Bocas-5
ObjectId("5de858562e0ddc657d1b6b98"),Instituto de Investigaciones "Dr. José María Luis Mora",MORA-177
ObjectId("5de858562e0ddc657d1b6b99"),Fideicomiso de Formación y Capacitación para el Personal de la Marina Mercante Nacional,FIDENA-134
ObjectId("5de858562e0ddc657d1b6b9a"),Consejo Nacional de Ciencia y Tecnología,CONACYT-110
ObjectId("5de858562e0ddc657d1b6b9b"),Laboratorios de Biológicos y Reactivos de México, S.A. de C.V.,BIRMEX-230
ObjectId("5de858562e0ddc657d1b6b9c"),Instituto Mexicano de Cinematografía,IMCINE-186
ObjectId("5de858562e0ddc657d1b6b9d"),Centro de Investigación Científica y de Educación Superior de Ensenada, Baja California,CICESE-39
ObjectId("5de858562e0ddc657d1b6b9e"),Lotería Nacional para la Asistencia Pública,LOTENAL-232
ObjectId("5de858562e0ddc657d1b6b9f"),Instituto Nacional de las Personas Adultas Mayores,INAPAM-211
ObjectId("5de858562e0ddc657d1b6ba0"),Administración Portuaria Integral de Coatzacoalcos, S.A. de C.V.,API-Coatzacoalcos-4
ObjectId("5de858562e0ddc657d1b6ba1"),Administración Portuaria Integral de Veracruz, S.A. de C.V.,API-Veracruz-18
ObjectId("5de858562e0ddc657d1b6ba2"),Comisión Nacional de los Salarios Mínimos,CONASAMI-89
ObjectId("5de858562e0ddc657d1b6ba3"),Fondo Nacional para el Fomento de las Artesanías,FONART-158
ObjectId("5de858562e0ddc657d1b6ba4"),Administración Portuaria Integral de Manzanillo, S.A. de C.V.,API-Manzanillo-9
ObjectId("5de858562e0ddc657d1b6ba5"),Instituto Mexicano de la Juventud,IMJ-187
